Player_ID,Player_Name,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,TenZ,Sentinels,Duelist,9,206,139,55,1.48,1.87,289,22.8,15.4,6.1
2,ScreaM,Team Liquid,Duelist Sentinel,9,177,131,56,1.35,1.77,265,19.6,14.5,6.2
3,Derke,Fnatic,Duelist Initiator,16,298,270,85,1.1,1.41,260,18.6,16.8,5.3
4,ShahZaM,Sentinels,Duelist Initiator,9,172,134,52,1.28,1.67,240,19.1,14.8,5.7
5,prozin,Sharks Esports,Duelist,5,70,75,15,0.93,1.13,237,14,15,3
6,Patiphan,X10 Esports,,6,109,98,38,1.11,1.5,235,18.1,16.3,6.3
7,Klaus,KRU Esports,,6,87,75,25,1.15,1.49,234,14.5,12.5,4.1
8,Lakia,NUTURN Gaming,,11,174,146,62,1.19,1.61,231,15.8,13.2,5.6
9,Zellsis,Version1,,10,184,168,61,1.09,1.45,230,18.4,16.8,6.1
10,Jamppi,Team Liquid,,9,155,130,32,1.19,1.43,229,17.2,14.4,3.5
11,penny,Version1,,10,185,173,40,1.06,1.3,227,18.5,17.3,4
12,SicK,Sentinels,,9,147,126,61,1.16,1.65,218,16.3,14,6.7
13,L1NK,Team Liquid,,9,147,123,57,1.19,1.65,218,16.3,13.6,6.3
14,Magnum,Fnatic,,16,270,246,83,1.09,1.43,215,16.8,15.3,5.1
15,Mazino,KRU Esports,,6,78,80,46,0.97,1.55,213,13,13.3,7.6
16,Munchkin,Crazy Raccoon,,4,62,72,27,0.86,1.23,210,15.5,18,6.7
17,Sacy,Team Vikings,,6,100,89,30,1.12,1.46,206,16.6,14.8,5
18,foxz,X10 Esports,,6,100,100,33,1,1.33,206,16.6,16.6,5.5
19,Doma,Fnatic,,16,247,241,120,1.02,1.52,205,15.4,15,7.5
20,neth,Crazy Raccoon,,4,63,61,15,1.03,1.27,203,15.7,15.2,3.7
21,zepher,Crazy Raccoon,,4,62,67,10,0.92,1.07,202,15.5,16.7,2.5
22,gaabxx,Sharks Esports,,5,65,66,17,0.98,1.24,199,13,13.2,3.4
23,allow,NUTURN Gaming,,11,150,163,30,0.92,1.1,198,13.6,14.8,2.7
24,vanity,Version1,,10,158,174,63,0.9,1.27,197,15.8,17.4,6.3
25,Mistic,Fnatic,,16,240,206,120,1.16,1.74,191,15,12.8,7.5
26,Boaster,Fnatic,,16,241,241,81,1,1.33,190,15,15,5
27,soulcas,Team Liquid,,9,124,124,64,1,1.51,188,13.7,13.7,7.1
28,solo,NUTURN Gaming,,11,137,167,65,0.82,1.2,188,12.4,15.1,5.9
29,Suggest,NUTURN Gaming,,11,146,158,36,0.92,1.15,186,13.2,14.3,3.2
30,effys,Version1,,10,161,146,69,1.1,1.57,186,16.1,14.6,6.9
31,dapr,Sentinels,,9,127,123,73,1.03,1.62,184,14.1,13.6,8.1
32,peri,NUTURN Gaming,,11,151,142,43,1.06,1.36,184,13.7,12.9,3.9
33,Medusa,Crazy Raccoon,,4,51,70,23,0.72,1.05,178,12.7,17.5,5.7
34,jammyz,Version1,,10,136,169,56,0.8,1.13,176,13.6,16.9,5.6
35,sutecas,Team Vikings,,6,88,98,26,0.89,1.16,174,14.6,16.3,4.3
36,bnj,KRU Esports,,6,60,79,38,0.75,1.24,173,10,13.1,6.3
37,Crws,X10 Esports,,6,81,93,34,0.87,1.23,171,13.5,15.5,5.6
38,zombs,Sentinels,,9,121,133,67,0.9,1.41,170,13.4,14.7,7.4
39,NagZ,KRU Esports,,6,67,81,13,0.82,0.98,169,11.1,13.5,2.1
40,Saadhak,Team Vikings,,6,81,92,26,0.88,1.16,166,13.5,15.3,4.3
41,sushiboys,X10 Esports,,6,74,92,28,0.8,1.1,161,12.3,15.3,4.6
42,Kryptix,Team Liquid,,9,104,117,54,0.88,1.35,161,11.5,13,6
43,DeNaro,Sharks Esports,,5,45,69,24,0.65,1,161,9,13.8,4.8
44,sScary,X10 Esports,,6,88,87,35,1.01,1.41,157,14.6,14.5,5.8
45,delz1k,KRU Esports,,6,62,73,22,0.84,1.15,157,10.3,12.1,3.6
46,rion,Crazy Raccoon,,4,46,67,16,0.68,0.92,148,11.5,16.7,4
47,gtnziN,Team Vikings,,6,60,96,28,0.62,0.91,141,10,16,4.6
48,frz,Team Vikings,,6,75,100,24,0.75,0.99,139,12.5,16.6,4
49,light,Sharks Esports,,5,35,67,22,0.52,0.85,125,7,13.4,4.4
50,fra,Sharks Esports,,5,35,69,17,0.5,0.75,122,7,13.8,3.4
